enrollment_id,week1_session_count,week2_session_count,week3_session_count,week4_session_count,week5_session_count
357,0,6,10,13,5
358,0,0,2,0,0
360,0,0,0,0,1
366,0,0,28,0,0
367,0,0,1,0,0
370,0,0,0,0,4
371,0,1,5,2,1
373,0,21,0,8,16
377,0,4,3,4,3
382,7,17,4,8,4
386,0,0,0,3,1
387,0,2,5,10,13
394,0,0,15,8,0
396,8,9,4,6,0
398,0,0,9,0,0
399,6,5,17,7,0
400,1,0,6,5,4
403,0,7,5,2,0
407,0,0,12,4,3
410,0,0,1,0,0
412,0,0,0,9,6
414,7,4,7,4,5
419,0,0,0,0,1
420,0,0,1,0,0
421,0,0,1,0,0
424,0,0,0,8,5
426,0,3,6,1,3
428,0,0,0,3,5
432,10,4,8,2,1
433,3,20,41,10,0
435,0,14,0,3,2
436,3,7,6,6,3
438,0,0,3,0,0
441,7,5,2,8,0
442,4,4,4,0,1
444,20,5,7,5,10
445,0,0,4,1,0
446,0,0,0,2,3
447,0,0,0,1,0
450,1,13,8,0,0
452,4,5,6,4,7
454,1,1,1,4,4
458,0,13,18,10,1
463,0,0,1,0,0
464,4,3,6,3,0
469,13,9,11,14,2
471,11,8,5,3,0
480,0,5,14,5,3
484,0,0,0,5,7
486,0,0,2,7,1
490,0,9,7,2,0
500,0,0,0,0,1
509,0,1,3,2,5
514,1,7,5,2,0
515,1,20,17,15,6
516,5,6,7,12,0
517,5,1,10,12,2
522,11,8,7,14,6
533,0,0,18,4,0
534,0,0,0,6,2
535,0,0,1,6,0
536,0,6,2,0,1
543,0,7,3,0,0
547,0,4,0,14,1
550,0,0,1,1,0
552,7,10,13,7,2
555,0,3,0,0,0
556,0,0,0,5,7
558,3,4,2,0,7
561,0,0,0,1,13
566,0,13,2,1,2
576,0,0,17,1,0
579,0,0,6,1,0
580,20,5,10,3,9
581,0,6,3,4,0
584,0,0,13,0,0
587,0,3,9,6,2
588,0,7,18,19,2
589,0,0,0,13,0
590,0,0,0,2,2
599,15,0,8,8,4
600,0,0,9,8,0
603,0,0,1,0,0
606,14,11,15,25,1
609,0,11,0,0,1
612,0,3,2,4,0
613,0,0,8,9,0
614,0,0,0,0,1
625,0,0,1,19,0
627,0,0,0,0,3
629,0,1,5,3,3
630,0,2,3,0,0
633,5,7,4,6,0
638,10,10,15,8,6
639,5,5,16,7,0
643,2,0,6,1,0
645,0,0,3,1,0
652,0,0,1,9,0
654,0,0,13,10,0
658,8,11,5,7,1
660,5,3,4,1,5
661,6,7,3,0,0
667,0,0,1,0,0
676,1,3,2,0,1
680,0,0,2,11,0
682,0,0,6,7,3
683,0,0,0,1,2
687,1,4,6,5,5
691,0,1,13,0,5
693,10,6,22,12,3
697,2,3,1,2,1
700,0,0,0,0,1
701,0,4,3,0,5
703,13,9,7,0,5
704,0,1,18,0,0
705,0,0,0,0,4
707,3,0,5,0,0
709,2,12,8,9,2
711,0,14,11,7,6
713,0,0,0,1,0
714,4,5,5,2,1
717,9,25,9,31,0
719,0,0,0,0,1
726,3,9,11,7,0
728,1,13,1,7,0
731,0,0,1,0,0
733,0,0,5,0,0
738,2,0,5,7,6
746,0,11,4,4,1
750,0,4,0,0,6
751,12,5,4,15,0
753,0,0,0,0,1
756,0,0,0,0,1
757,0,0,2,21,0
758,0,5,9,8,14
761,9,8,16,14,7
768,0,0,0,0,1
769,7,6,8,0,0
771,0,1,1,0,0
773,0,0,1,1,0
774,0,0,42,10,0
778,1,6,6,3,2
783,3,2,8,1,4
788,4,3,3,8,0
790,0,5,5,4,0
791,0,14,3,9,1
792,0,0,0,4,1
793,0,0,0,0,1
797,0,0,0,0,1
802,0,6,13,4,0
803,0,0,0,0,1
805,2,2,0,1,1
810,0,0,5,6,0
818,0,0,1,0,0
819,0,0,4,4,0
820,0,4,4,0,1
821,2,6,2,5,6
825,4,0,9,8,0
827,0,0,0,8,6
833,0,2,0,0,0
837,0,0,11,5,0
838,0,0,0,1,0
841,0,0,1,0,0
844,0,0,7,0,0
845,0,1,0,0,0
848,5,0,5,0,0
850,0,0,0,0,2
852,0,0,2,6,22
854,0,0,0,1,0
858,0,16,6,18,1
860,0,6,6,4,6
862,18,12,18,3,5
868,2,13,5,0,5
870,0,4,10,2,1
872,0,6,2,11,7
873,0,0,0,0,1
875,7,7,1,7,4
878,3,3,5,8,9
882,3,16,3,7,10
884,0,8,20,11,7
885,11,12,6,23,0
887,0,9,10,8,6
888,0,0,0,2,0
890,1,2,5,1,0
893,0,0,0,0,3
899,12,3,16,6,0
900,0,0,3,0,0
901,2,0,6,2,0
903,5,3,7,5,7
906,4,2,1,17,0
907,4,0,15,6,0
912,0,0,4,9,9
919,0,0,2,0,0
921,8,4,8,13,1
922,17,14,17,3,1
923,1,3,8,8,4
925,0,2,13,0,0
930,0,4,7,0,0
935,0,0,1,0,0
936,5,4,18,0,0
937,2,10,24,3,4
938,0,0,0,0,1
939,0,0,5,10,3
940,17,14,5,5,0
941,6,3,9,0,0
942,1,0,0,1,0
945,5,7,4,14,0
950,0,0,0,0,3
953,5,2,4,3,1
954,3,2,3,0,1
955,12,5,11,0,0
958,4,1,1,0,0
961,0,0,0,0,1
962,0,0,0,0,4
963,0,0,10,3,5
965,0,17,7,11,4
967,2,0,11,0,0
974,0,1,0,0,5
988,9,13,7,11,2
991,0,4,0,0,0
992,0,0,0,0,4
994,0,2,8,11,3
996,4,4,1,4,0
997,15,8,7,2,1
1000,7,8,15,6,0
1005,3,5,4,4,1
1007,6,6,7,4,0
1019,10,5,9,14,7
1020,0,0,11,1,0
1022,0,0,0,0,6
1024,1,10,5,6,9
1028,11,11,7,16,6
1029,7,2,7,1,1
1030,15,29,13,0,0
1031,0,0,2,0,0
1033,7,0,5,2,5
1041,3,1,2,9,6
1044,0,0,0,2,0
1050,0,11,6,6,2
1052,0,1,0,0,0
1058,0,0,0,0,12
1072,0,0,1,1,0
1073,0,0,5,0,0
1074,0,7,11,1,0
1075,0,1,2,2,2
1077,1,7,23,16,5
1078,5,8,9,6,3
1080,9,7,6,10,11
1082,0,2,2,3,1
1084,0,10,8,0,0
1085,0,8,12,0,0
1086,0,8,9,0,0
1090,1,3,8,0,0
1091,0,1,8,5,3
1095,0,0,8,8,4
1098,0,0,0,13,4
1101,0,13,10,8,8
1112,0,13,7,0,4
1116,12,7,16,7,0
1124,5,0,1,1,3
1126,0,3,3,0,0
1128,1,3,15,18,0
1129,0,0,0,5,3
1131,1,5,6,6,2
1134,1,8,14,2,0
1135,0,0,2,7,1
1136,0,0,2,0,0
1137,2,1,14,15,0
1139,2,5,3,2,2
1141,0,5,11,0,0
1143,0,0,7,0,0
1144,3,6,12,9,4
1147,0,22,1,9,14
1150,15,12,8,7,8
1153,0,0,0,1,0
1154,10,0,1,0,0
1162,0,0,0,3,6
1163,7,2,8,12,4
1164,0,0,1,0,0
1167,8,6,5,6,2
1168,0,1,1,2,0
1169,5,9,7,7,0
1170,0,9,7,7,0
1172,0,9,0,0,4
1174,0,1,5,14,2
1176,0,0,1,0,0
1177,0,0,0,0,1
1181,0,0,0,0,8
1182,7,17,7,14,4
1183,19,4,0,0,1
1187,0,0,8,0,0
1190,1,0,1,0,1
1192,11,15,13,10,2
1195,0,9,5,6,1
1196,5,11,6,7,7
1199,0,0,1,0,0
1203,7,4,2,3,4
1204,0,0,1,0,0
1206,5,5,6,0,0
1212,7,10,10,6,0
1213,0,0,0,0,3
1222,0,6,1,0,0
1228,0,0,2,0,0
1230,9,0,11,0,3
1240,4,1,1,3,0
1241,0,3,4,2,1
1244,0,0,0,0,2
1248,10,4,14,2,0
1250,0,0,0,5,2
1252,11,17,21,15,3
1253,0,6,11,4,0
1257,8,8,12,2,0
1258,0,0,7,2,12
1260,17,6,9,19,0
1263,0,0,0,14,19
1264,12,1,21,9,0
1271,0,0,1,0,0
1273,0,0,0,0,1
1274,0,0,0,0,1
1280,0,10,3,2,0
1281,6,7,8,7,7
1283,0,0,4,0,0
1285,0,0,10,1,3
1287,0,4,8,32,1
1289,13,12,7,23,3
1290,8,9,7,3,0
1292,0,7,28,18,2
1295,0,0,0,0,1
1296,0,0,3,1,1
1309,5,20,1,18,8
1310,3,5,4,1,5
1311,0,0,5,16,0
1316,0,8,12,7,0
1323,0,0,0,0,1
1331,0,4,9,6,0
1337,1,6,17,8,4
1341,3,1,0,1,1
1342,0,0,1,0,0
1344,0,7,7,2,0
1348,0,0,0,0,1
1350,12,4,5,0,0
1351,0,13,12,3,0
1352,6,4,3,8,0
1353,0,0,8,8,5
1357,3,10,10,12,2
1363,8,4,3,3,4
1364,6,2,7,14,2
1366,0,0,4,5,3
1367,3,0,2,0,1
1371,1,5,3,5,3
1376,5,9,4,8,0
1377,9,16,20,17,1
1379,0,8,3,12,3
1380,0,0,4,0,2
1386,7,0,5,0,0
1389,0,0,15,9,0
1392,5,15,5,3,0
1393,2,6,1,3,1
1397,11,9,4,7,5
1398,0,0,3,2,0
1401,0,17,2,10,0
1402,0,0,1,0,0
1405,8,16,7,12,2
1406,17,14,12,24,18
1409,0,0,8,1,5
1410,0,0,6,17,0
1412,0,1,0,3,1
1414,0,6,4,3,0
1417,5,0,6,3,0
1418,0,0,1,0,0
1423,30,28,23,18,9
1425,0,0,0,4,1
1427,2,2,9,7,0
1429,0,7,21,18,0
1430,0,0,8,7,2
1431,2,0,3,0,2
1433,10,4,7,7,0
1437,4,9,12,8,0
1438,0,0,9,2,1
1442,0,0,9,6,11
1443,0,10,7,1,0
1446,6,17,10,6,0
1451,9,3,4,4,9
1453,0,2,0,0,3
1455,0,16,7,3,10
1456,0,0,0,3,2
1457,0,0,9,9,3
1458,4,1,8,3,0
1463,5,3,3,1,1
1465,0,0,0,0,1
1466,8,7,5,7,0
1469,0,5,4,0,6
1473,1,29,16,17,0
1474,0,0,0,0,6
1477,1,9,6,3,1
1478,4,3,5,6,6
1481,0,0,1,14,6
1484,0,10,5,4,2
1485,1,12,9,7,0
1486,0,5,1,0,0
1488,0,0,0,1,0
1489,3,0,6,2,0
1490,0,7,3,3,0
1493,3,6,3,7,6
1497,16,5,7,10,0
1500,2,6,3,0,0
1501,5,2,2,6,5
1506,0,6,16,3,0
1516,0,0,3,9,2
1518,0,2,0,1,1
1519,11,5,22,18,6
1520,3,5,8,16,5
1521,14,17,10,24,1
1525,0,0,10,10,4
1535,0,0,0,3,2
1536,0,0,0,0,1
1541,0,1,0,0,0
1542,0,6,2,2,0
1545,0,0,4,7,0
1548,0,13,21,7,1
1549,0,0,0,0,1
1550,0,0,2,29,2
1557,0,1,4,0,6
1558,4,1,2,1,0
1562,0,0,0,1,0
1564,5,9,6,4,1
1567,4,0,0,1,0
1569,4,4,5,8,6
1572,0,0,2,3,2
1575,2,1,12,2,6
1578,10,1,9,6,3
1579,0,0,11,3,0
1582,2,8,3,4,1
1585,5,3,11,4,0
1587,0,3,6,3,0
1588,0,0,10,10,1
1592,3,0,5,3,0
1601,0,0,0,0,5
1604,0,1,18,17,2
1606,13,4,4,4,0
1607,0,0,2,0,0
1608,6,7,4,11,0
1614,4,0,2,0,0
1617,0,0,1,1,0
1620,5,5,9,2,0
1621,0,1,0,1,0
1628,4,5,3,5,4
1629,0,0,0,0,4
1630,11,9,0,1,0
1632,0,0,8,2,5
1633,16,8,16,14,9
1634,0,13,4,17,0
1639,0,0,5,0,0
1645,0,0,0,0,1
1647,0,0,3,19,4
1648,0,0,9,30,0
1649,0,0,14,14,2
1650,0,0,1,0,0
1653,0,0,1,0,0
1654,0,0,4,2,0
1663,9,0,2,0,0
1668,0,1,1,0,0
1672,0,0,0,0,1
1673,0,0,4,8,1
1676,0,1,0,3,1
1677,0,0,20,16,6
1678,0,1,6,0,2
1679,2,4,4,1,1
1681,4,0,1,4,6
1685,0,1,0,0,0
1687,6,1,1,3,0
1690,0,0,0,12,2
1692,0,0,1,0,0
1698,1,0,7,2,0
1700,0,0,3,0,0
1701,0,0,0,3,11
1703,0,0,1,0,0
1705,0,0,13,15,7
1708,0,2,9,0,4
1711,0,0,4,0,0
1713,2,16,23,0,0
1719,12,5,7,0,0
1720,1,0,7,6,5
1724,0,1,0,0,0
1725,0,0,0,0,1
1730,0,0,3,0,0
1731,0,8,17,3,0
1734,0,0,8,7,0
1735,9,8,3,2,1
1736,7,2,9,7,3
1738,0,0,11,0,0
1740,0,0,0,0,1
1745,0,2,1,0,0
1747,0,0,6,24,0
1752,0,0,11,8,12
1753,3,1,4,4,1
1756,9,8,5,0,0
1757,4,1,0,2,0
1758,2,4,2,1,1
1767,14,3,2,1,6
1769,9,8,9,7,0
1770,0,0,2,1,0
1772,0,0,0,2,2
1779,0,0,2,6,1
1780,7,6,6,3,2
1782,1,8,10,10,4
1783,0,11,5,9,3
1788,0,5,3,0,6
1789,2,4,1,12,0
1793,2,0,2,1,1
1795,0,0,10,14,3
1799,0,0,6,8,0
1800,3,8,5,12,0
1801,0,1,0,3,0
1803,0,1,0,2,0
1805,0,0,0,6,0
1806,0,0,0,1,0
1811,4,0,0,1,0
1812,0,0,0,6,0
1815,1,4,9,1,1
1816,0,0,0,1,0
1818,10,2,0,4,0
1819,0,0,2,10,0
1821,0,1,0,1,0
1823,0,0,1,1,0
1826,1,14,5,8,0
1827,0,5,30,18,9
1828,0,0,0,2,0
1829,0,0,0,5,0
1830,1,0,1,2,0
1831,0,0,0,1,0
1832,0,5,2,1,0
1833,0,0,0,1,0
1838,0,0,0,1,0
1844,0,2,0,3,0
1845,5,4,3,4,1
1849,0,0,0,1,0
1856,31,15,7,13,0
1865,0,0,0,5,3
1867,0,0,0,1,0
1870,0,0,0,1,0
1872,0,0,0,3,0
1873,0,0,0,4,0
1874,0,0,0,1,0
1875,1,0,0,1,0
1876,0,0,0,1,0
1878,0,3,0,1,0
1882,0,0,0,1,0
1886,0,0,0,2,0
1888,3,0,0,1,0
1891,13,3,1,1,2
1893,0,0,0,2,0
1894,4,17,7,10,1
1895,0,0,0,1,0
1902,0,0,0,3,1
1903,6,18,10,7,4
1906,0,0,0,1,0
1909,0,0,0,1,0
1910,8,2,1,9,1
1913,0,0,1,2,0
1915,0,0,0,1,0
1917,0,0,0,1,0
1922,0,9,11,1,4
1926,1,0,0,1,0
1928,0,0,0,3,1
1929,1,0,0,1,0
1931,24,26,6,15,0
1933,8,21,9,7,0
1934,0,0,0,1,0
1936,0,2,0,2,0
1938,0,0,0,1,0
1939,0,0,1,1,0
1941,0,0,0,1,0
1945,4,1,0,2,0
1947,0,0,0,1,0
1948,0,0,0,1,0
1949,0,0,0,1,0
1951,5,1,0,6,0
1953,6,5,1,18,12
1966,0,0,0,6,4
1967,16,11,7,3,3
1968,0,2,4,3,0
1970,21,13,18,4,0
1971,1,0,1,2,0
1973,0,3,5,1,1
1975,0,0,0,7,0
1977,0,0,0,3,0
1979,0,3,0,4,2
1980,6,7,4,2,1
1981,93,51,48,59,12
1986,0,0,1,1,0
1989,0,0,1,7,1
1995,0,0,12,2,0
1996,0,0,0,2,0
1997,0,0,0,7,1
2001,0,0,5,12,1
2004,4,3,3,4,0
2007,9,3,2,15,2
2009,16,4,2,18,1
2010,0,0,0,11,3
2023,0,1,1,1,0
2025,0,0,0,1,0
2028,0,1,4,3,1
2034,0,5,0,6,0
2037,0,9,7,4,1
2039,0,0,0,1,0
2043,0,7,16,16,7
2045,0,0,0,4,0
2047,6,0,1,7,2
2048,1,0,0,1,0
2049,7,2,6,14,4
2050,0,0,0,3,0
2052,6,1,6,5,1
2059,9,2,8,3,5
2064,0,0,0,5,0
2065,4,6,15,9,3
2067,8,0,4,1,0
2069,0,0,0,8,1
2070,0,0,0,36,3
2072,27,26,25,20,6
2074,0,1,4,6,0
2079,0,0,0,9,2
2081,22,14,11,12,3
2086,8,1,1,21,2
2089,2,0,2,1,0
2093,11,10,6,23,3
2094,0,5,5,3,0
2095,3,3,1,8,4
2097,0,0,9,25,0
2098,0,0,0,4,0
2100,22,11,5,2,0
2102,0,0,0,1,0
2103,0,0,0,1,0
2104,9,6,29,2,1
2105,0,0,0,7,1
2107,0,0,0,6,0
2109,5,12,2,34,2
2110,0,0,1,1,0
2114,17,27,6,12,2
2117,0,7,3,1,0
2120,0,3,4,3,2
2126,3,1,10,3,0
2131,0,0,0,11,11
2134,0,2,0,3,1
2135,6,6,0,5,0
2140,2,1,8,3,0
2144,2,1,4,1,0
2148,4,3,8,5,1
2153,11,1,5,3,0
2156,5,1,7,4,1
2162,0,0,0,9,0
2166,0,0,0,1,0
2168,1,2,1,4,0
2169,4,4,0,1,0
2170,0,0,4,4,1
2173,0,0,4,17,1
2176,21,7,7,5,0
2177,0,0,0,3,0
2178,11,6,2,10,0
2179,4,0,0,1,0
2184,0,1,4,1,0
2187,9,3,7,7,0
2188,0,0,0,7,0
2189,11,25,25,9,2
2190,0,0,0,2,0
2192,0,0,14,11,0
2194,0,0,0,3,0
2195,0,0,0,10,0
2197,0,0,0,1,0
2198,0,0,0,1,0
2199,0,0,0,3,10
2201,13,18,12,18,5
2203,12,15,12,14,2
2210,6,3,1,7,2
2213,22,17,15,14,3
2214,2,3,4,2,0
2215,1,2,2,2,1
2217,0,0,0,6,1
2219,0,0,0,2,1
2220,5,3,6,10,0
2222,7,3,4,3,2
2224,0,3,3,2,0
2225,2,4,2,4,0
2228,4,2,4,1,1
2232,0,0,5,4,1
2233,0,0,0,1,0
2234,0,0,0,2,0
2235,0,6,6,4,1
2240,0,0,0,2,0
2241,14,27,16,28,21
2245,0,0,1,23,1
2246,2,4,1,3,0
2249,0,0,0,1,0
2253,0,0,0,11,0
2255,0,0,2,1,1
2257,6,1,0,4,0
2258,2,0,0,1,0
2260,1,2,4,3,0
2261,2,1,2,20,0
2264,2,0,3,7,0
2265,24,12,4,6,0
2271,0,0,0,9,0
2273,0,0,5,2,0
2274,0,0,0,1,0
2279,4,1,9,6,1
2281,0,0,0,16,3
2283,0,7,0,4,0
2290,3,0,0,3,0
2295,0,0,0,6,2
2299,0,0,0,1,0
2300,6,1,0,5,0
2302,2,2,0,1,0
2304,0,0,5,3,0
2307,0,1,0,1,0
2308,0,0,0,1,0
2309,26,1,5,5,1
2312,0,0,0,3,0
2313,0,0,0,1,0
2317,0,0,0,13,0
2318,0,0,0,2,0
2321,0,0,0,1,0
2327,0,0,0,1,0
2333,6,2,4,8,1
2335,0,0,0,3,0
2339,7,6,6,4,0
2341,0,0,0,1,0
2342,0,0,0,5,0
2344,0,0,0,1,4
2347,0,0,0,7,0
2351,0,0,0,3,1
2354,0,0,0,1,0
2355,0,0,0,6,4
2358,0,0,0,4,8
2361,0,0,0,1,0
2365,0,0,0,1,0
2370,0,0,0,3,0
2375,4,1,9,2,0
2385,9,2,2,15,1
2394,0,0,0,1,0
2397,0,0,0,6,1
2399,0,0,0,11,5
2401,1,0,0,19,1
2402,0,0,0,2,0
2404,0,0,0,2,0
2407,0,0,7,1,2
2411,6,1,3,2,0
2416,5,2,1,1,0
2425,0,0,0,1,0
2428,0,0,0,1,0
2430,0,0,0,1,0
2432,3,5,9,2,3
2434,0,0,2,1,0
2439,3,6,3,13,5
2448,0,0,15,14,0
2449,0,0,1,2,0
2458,2,9,1,1,1
2459,8,5,12,5,0
2464,1,2,0,2,0
2466,0,0,2,5,0
2470,10,5,7,13,3
2472,20,4,4,10,1
2481,2,0,5,6,2
2482,0,0,9,8,4
2484,0,1,11,3,0
2487,0,0,0,2,0
2488,0,0,5,1,0
2492,1,0,0,2,0
2495,0,0,0,1,0
2496,5,7,8,8,7
2501,1,0,1,3,0
2503,8,3,6,8,2
2504,0,0,3,2,0
2505,1,0,0,1,0
2506,0,0,0,6,0
2507,4,0,0,2,0
2508,7,9,1,4,2
2509,5,2,1,1,3
2516,2,18,5,4,2
2518,11,9,3,1,0
2521,9,11,10,33,14
2522,0,0,2,1,0
2536,3,1,1,14,0
2537,0,0,0,1,0
2541,0,7,0,3,0
2542,0,0,0,1,0
2544,1,4,1,2,0
2546,1,0,0,1,2
2548,0,0,4,2,0
2549,0,0,0,6,0
2553,0,0,0,1,2
2560,17,12,2,9,1
2565,1,0,4,7,0
2566,10,5,4,6,1
2569,4,8,14,11,1
2570,0,2,0,5,0
2577,0,0,3,4,1
2578,0,0,13,8,0
2579,0,0,3,47,4
2582,0,0,0,1,0
2583,9,1,44,26,5
2587,1,1,3,3,0
2588,5,2,3,9,0
2589,5,0,2,2,0
2595,4,1,2,1,0
2596,9,2,1,3,0
2597,2,1,2,4,1
2598,15,1,3,3,1
2599,1,0,1,2,0
2602,0,0,0,10,0
2606,12,8,10,6,7
2609,0,0,0,1,0
2610,0,1,25,2,0
2611,7,0,2,1,0
2612,6,3,0,2,7
2613,3,1,5,2,0
2615,0,1,4,25,23
2620,0,0,0,1,0
2621,0,0,0,1,0
2622,3,5,6,4,0
2623,0,1,1,7,0
2624,9,2,7,4,1
2627,0,7,8,6,2
2629,3,7,0,1,0
2635,8,17,22,15,0
2636,1,13,11,10,4
2638,0,0,4,3,0
2639,0,3,0,8,5
2640,1,0,0,3,0
2642,8,21,4,9,6
2643,0,0,24,40,1
2647,0,0,0,2,0
2650,0,0,0,4,0
2651,4,3,10,10,5
2652,18,13,4,3,0
2653,0,0,0,2,0
2656,0,0,0,2,0
2657,0,0,0,6,0
2659,0,1,0,3,1
2662,0,2,0,2,0
2663,0,0,0,1,0
2666,4,2,1,11,0
2667,0,0,2,7,0
2677,3,11,3,4,0
2679,6,2,0,8,0
2682,0,4,7,6,0
2683,3,3,2,5,0
2684,1,0,4,2,0
2688,0,2,1,2,0
2689,0,0,0,1,0
2690,1,1,2,2,1
2693,5,7,10,8,0
2694,1,0,0,7,0
2696,0,2,0,1,3
2702,11,0,3,5,0
2703,11,16,1,3,0
2706,12,2,20,11,7
2707,0,0,0,1,0
2711,0,0,0,2,2
2712,0,0,1,5,0
2718,0,0,0,4,0
2720,0,0,15,8,0
2721,7,6,8,11,1
2722,0,0,0,1,0
2724,2,1,1,3,4
2725,0,0,2,3,0
2728,5,7,7,7,1
2730,0,0,0,1,0
2734,2,2,3,1,0
2741,6,3,7,7,0
2742,0,0,0,2,0
2743,3,0,3,1,1
2744,1,2,8,7,0
2745,3,0,1,1,0
2747,16,8,6,17,3
2748,3,6,7,3,0
2749,0,0,1,4,1
2750,13,1,6,4,1
2751,17,5,17,25,3
2752,0,2,3,1,0
2756,11,4,2,4,0
2760,9,0,13,5,0
2761,1,1,3,3,0
2764,0,0,0,2,0
2767,6,1,4,2,2
2768,0,0,5,3,4
2774,0,0,0,16,0
2775,0,0,0,1,0
2776,0,4,0,4,4
2777,2,2,2,2,0
2783,0,0,0,1,0
2786,0,2,0,2,0
2792,9,3,3,11,0
2794,0,0,0,1,0
2798,5,4,0,11,4
2799,0,0,0,1,0
2800,0,0,0,1,4
2809,0,0,0,5,1
2811,8,4,3,6,1
2815,0,0,8,2,0
2820,1,3,8,6,0
2821,1,1,1,5,1
2824,0,0,0,1,0
2833,0,0,0,1,0
2835,0,0,0,1,0
2836,3,1,1,1,0
2838,0,0,0,1,0
2842,7,1,4,2,2
2846,5,1,0,2,0
2849,2,3,3,12,1
2850,0,0,1,1,0
2854,8,1,0,1,0
2862,24,5,5,5,0
2868,0,0,0,3,0
2876,3,6,9,1,3
2883,8,20,18,13,2
2889,7,4,5,4,0
2893,0,1,0,3,0
2894,0,0,0,2,0
2899,2,8,7,10,1
2902,0,0,0,2,0
2910,2,7,1,3,0
2912,0,0,8,2,0
2913,0,0,2,9,1
2915,6,11,4,8,0
2916,7,10,5,23,1
2922,0,0,0,1,0
2923,8,23,7,11,0
2927,2,3,2,9,4
2932,0,0,0,1,0
2934,0,0,9,8,1
2935,0,0,0,1,0
2937,3,2,7,1,0
2939,0,0,0,1,0
2941,1,1,1,4,1
2942,0,3,2,4,2
2943,3,2,11,5,2
2945,0,4,0,2,0
2946,0,2,0,2,0
2948,2,6,4,4,0
2949,11,11,2,2,1
2951,8,6,2,4,2
2952,0,0,0,1,0
2954,0,0,0,2,0
2956,0,0,0,1,0
2964,3,0,0,2,0
2967,7,3,3,1,0
2970,0,0,0,5,0
2975,0,0,0,1,0
2979,4,9,10,10,1
2980,10,3,0,1,0
2982,5,2,7,3,0
2985,8,3,15,3,1
2986,0,4,1,5,0
2990,0,2,0,6,2
2991,0,0,0,4,0
2994,1,5,3,7,2
2996,4,1,5,2,0
2998,1,0,0,1,0
3001,7,4,3,1,0
3002,0,0,0,9,2
3006,0,0,0,3,2
3007,10,15,17,6,2
3014,9,3,9,12,0
3016,1,1,0,2,0
3017,3,6,10,4,3
3019,6,4,8,11,0
3020,0,0,11,16,0
