enrollment_id,week1_activity_count,week2_activity_count,week3_activity_count,week4_activity_count,week5_activity_count
500,0,0,0,0,1
509,0,8,37,26,73
514,27,68,45,20,0
515,22,217,225,186,40
516,120,73,155,135,0
517,70,4,91,155,25
522,100,114,58,237,45
533,0,0,175,37,0
534,0,0,0,21,30
535,0,0,9,111,0
536,0,44,48,0,32
543,0,57,12,0,0
547,0,20,0,62,1
550,0,0,31,11,0
552,53,47,89,57,3
555,0,3,0,0,0
556,0,0,0,51,129
558,22,27,6,0,41
561,0,0,0,1,205
566,0,182,15,8,26
576,0,0,215,7,0
579,0,0,84,3,0
580,128,9,28,12,117
581,0,38,28,41,0
584,0,0,90,0,0
587,0,46,79,43,42
588,0,31,50,159,12
589,0,0,0,106,0
590,0,0,0,8,11
599,89,0,30,43,30
600,0,0,52,56,0
603,0,0,2,0,0
606,254,146,133,273,12
609,0,83,0,0,7
612,0,26,29,40,0
613,0,0,41,37,0
614,0,0,0,0,25
625,0,0,14,223,0
627,0,0,0,0,33
629,0,11,24,26,12
630,0,53,13,0,0
633,33,33,21,22,0
638,82,72,95,45,33
639,87,21,172,101,0
643,20,0,102,19,0
645,0,0,35,7,0
652,0,0,15,70,0
654,0,0,103,62,0
658,149,92,64,55,10
660,58,29,51,4,37
661,42,53,25,0,0
667,0,0,1,0,0
676,13,47,18,0,25
680,0,0,17,89,0
682,0,0,70,96,10
683,0,0,0,9,44
687,4,23,41,35,58
691,0,25,39,0,21
693,64,61,244,99,7
697,19,24,21,22,20
700,0,0,0,0,5
701,0,26,22,0,34
703,70,49,41,0,47
704,0,43,142,0,0
705,0,0,0,0,19
707,20,0,131,0,0
709,15,57,65,67,32
711,0,102,80,40,15
713,0,0,0,1,0
714,19,87,28,39,6
717,123,88,13,149,0
719,0,0,0,0,6
726,16,37,48,24,0
728,4,86,14,59,0
731,0,0,1,0,0
733,0,0,86,0,0
738,6,0,40,48,59
746,0,74,25,16,3
750,0,21,0,0,63
751,115,35,44,204,0
753,0,0,0,0,4
756,0,0,0,0,1
757,0,0,20,261,0
758,0,20,57,46,64
761,171,98,162,103,161
768,0,0,0,0,1
769,101,100,87,0,0
771,0,18,27,0,0
773,0,0,17,6,0
774,0,0,546,86,0
778,36,55,66,57,22
783,23,23,166,1,14
788,40,26,31,71,0
790,0,45,60,53,0
791,0,89,22,45,9
792,0,0,0,58,20
793,0,0,0,0,1
797,0,0,0,0,1
802,0,91,131,42,0
803,0,0,0,0,20
805,39,38,0,12,25
810,0,0,88,44,0
818,0,0,8,0,0
819,0,0,34,12,0
820,0,83,78,0,16
821,16,52,10,110,100
825,121,0,111,77,0
827,0,0,0,32,52
833,0,32,0,0,0
837,0,0,87,66,0
838,0,0,0,1,0
841,0,0,1,0,0
844,0,0,38,0,0
845,0,1,0,0,0
848,55,0,100,0,0
850,0,0,0,0,2
852,0,0,17,54,228
854,0,0,0,1,0
858,0,102,27,54,9
860,0,44,37,10,37
862,96,40,95,18,35
868,4,235,71,0,18
870,0,66,108,10,27
872,0,44,11,63,65
873,0,0,0,0,1
875,37,44,9,17,94
878,21,29,20,17,73
882,51,139,43,173,179
884,0,133,198,114,80
885,115,160,52,218,0
887,0,46,63,35,23
888,0,0,0,42,0
890,25,24,23,6,0
893,0,0,0,0,25
899,117,12,110,24,0
900,0,0,25,0,0
901,9,0,111,9,0
903,39,9,50,102,75
906,21,10,5,186,0
907,18,0,49,52,0
912,0,0,42,74,67
919,0,0,36,0,0
921,52,35,43,109,5
922,128,71,193,9,4
923,23,12,78,29,48
925,0,24,74,0,0
930,0,19,48,0,0
935,0,0,18,0,0
936,79,48,523,0,0
937,6,189,285,32,79
938,0,0,0,0,21
939,0,0,72,143,69
940,206,139,51,241,0
941,50,27,92,0,0
942,1,0,0,1,0
945,84,82,10,124,0
950,0,0,0,0,15
953,74,10,29,29,1
954,15,31,45,0,19
955,178,42,225,0,0
958,41,23,21,0,0
961,0,0,0,0,7
962,0,0,0,0,19
963,0,0,158,29,65
965,0,74,154,84,20
967,11,0,114,0,0
974,0,11,0,0,57
988,59,61,131,62,8
991,0,51,0,0,0
992,0,0,0,0,22
994,0,8,149,196,24
996,45,31,7,34,0
997,152,101,64,12,21
1000,64,99,322,116,0
1005,27,59,47,24,6
1007,82,35,78,33,0
1019,60,46,85,127,92
1020,0,0,270,61,0
1022,0,0,0,0,37
1024,1,80,32,79,97
1028,93,59,93,174,10
1029,93,9,45,7,29
1030,374,317,138,0,0
1031,0,0,14,0,0
1033,52,0,20,27,48
1041,15,9,35,156,125
1044,0,0,0,116,0
1050,0,101,29,104,21
1052,0,1,0,0,0
1058,0,0,0,0,100
1072,0,0,1,1,0
1073,0,0,32,0,0
1074,0,60,102,15,0
1075,0,9,3,27,52
1077,13,65,274,123,43
1078,85,47,122,80,10
1080,62,36,26,57,111
1082,0,9,11,29,15
1084,0,91,68,0,0
1085,0,72,227,0,0
1086,0,99,81,0,0
1090,6,156,179,0,0
1091,0,5,89,55,67
1095,0,0,113,95,43
1098,0,0,0,171,21
1101,0,73,104,116,39
1112,0,92,79,0,19
1116,231,115,295,157,0
1124,56,0,9,14,56
1126,0,25,11,0,0
1128,9,27,177,312,0
1129,0,0,0,65,32
1131,15,41,25,36,16
1134,6,107,64,12,0
1135,0,0,51,53,4
1136,0,0,9,0,0
1137,24,5,130,253,0
1139,53,65,74,39,26
1141,0,92,92,0,0
1143,0,0,79,0,0
1144,56,59,140,75,38
1147,0,377,8,125,194
1150,196,103,83,123,101
1153,0,0,0,7,0
1154,156,0,11,0,0
1162,0,0,0,12,31
1163,77,11,64,64,22
1164,0,0,8,0,0
1167,81,61,53,101,29
1168,0,10,24,19,0
1169,39,56,44,164,0
1170,0,104,105,74,0
1172,0,107,0,0,68
1174,0,9,26,95,20
1176,0,0,1,0,0
1177,0,0,0,0,2
1181,0,0,0,0,31
1182,60,473,143,131,60
1183,241,43,0,0,5
1187,0,0,73,0,0
1190,15,0,33,0,17
1192,46,52,27,35,38
1195,0,55,36,40,5
1196,27,96,66,31,35
1199,0,0,2,0,0
1203,38,18,9,52,37
1204,0,0,5,0,0
1206,48,107,66,0,0
1212,56,71,53,67,0
1213,0,0,0,0,56
1222,0,26,2,0,0
1228,0,0,70,0,0
1230,84,0,126,0,9
1240,20,4,6,8,0
1241,0,14,22,14,38
1244,0,0,0,0,22
1248,74,39,144,15,0
1250,0,0,0,76,8
1252,159,139,284,200,71
1253,0,51,58,16,0
1257,46,25,60,11,0
1258,0,0,32,20,122
1260,453,103,184,236,0
1263,0,0,0,131,124
1264,78,8,209,81,0
1271,0,0,14,0,0
1273,0,0,0,0,1
1274,0,0,0,0,4
1280,0,83,22,9,0
1281,93,70,77,64,85
1283,0,0,20,0,0
1285,0,0,101,17,47
1287,0,9,44,337,7
1289,210,173,155,391,23
1290,52,89,59,38,0
1292,0,26,204,62,20
1295,0,0,0,0,1
1296,0,0,33,17,13
1309,57,122,1,325,53
1310,34,42,26,11,51
1311,0,0,34,268,0
1316,0,70,88,102,0
1323,0,0,0,0,6
1331,0,19,98,23,0
1337,21,24,57,37,56
1341,26,14,0,10,22
1342,0,0,12,0,0
1344,0,69,46,13,0
1348,0,0,0,0,1
1350,179,29,62,0,0
1351,0,121,170,41,0
1352,68,76,38,60,0
1353,0,0,63,65,32
1357,42,69,75,192,9
1363,41,80,25,9,16
1364,60,12,31,132,15
1366,0,0,23,126,12
1367,8,0,5,0,12
1371,8,25,27,63,28
1376,15,44,19,25,0
1377,90,224,195,303,5
1379,0,60,14,104,17
1380,0,0,18,0,11
1386,139,0,105,0,0
1389,0,0,80,41,0
1392,54,75,32,23,0
1393,27,67,2,8,1
1397,66,33,19,55,49
1398,0,0,21,8,0
1401,0,85,9,27,0
1402,0,0,5,0,0
1405,37,139,36,22,8
1406,251,198,203,493,248
1409,0,0,109,12,154
1410,0,0,37,139,0
1412,0,6,0,3,5
1414,0,44,138,57,0
1417,67,0,29,7,0
1418,0,0,1,0,0
1423,368,182,227,208,58
1425,0,0,0,43,7
1427,10,10,48,59,0
1429,0,178,365,344,0
1430,0,0,56,143,16
1431,2,0,3,0,3
1433,76,15,39,26,0
1437,41,49,73,65,0
1438,0,0,87,23,1
1442,0,0,72,35,48
1443,0,93,49,9,0
1446,76,161,104,77,0
1451,99,8,16,59,80
1453,0,9,0,0,23
1455,0,205,145,13,148
1456,0,0,0,10,9
1457,0,0,83,82,17
1458,15,4,22,17,0
1463,53,26,61,4,38
1465,0,0,0,0,5
1466,62,46,36,49,0
1469,0,49,20,0,37
1473,20,287,248,215,0
1474,0,0,0,0,63
1477,23,49,68,32,6
1478,29,33,43,84,29
1481,0,0,5,173,171
1484,0,67,51,31,18
1485,7,64,92,55,0
1486,0,32,11,0,0
1488,0,0,0,3,0
1489,31,0,28,19,0
1490,0,77,28,6,0
1493,28,52,25,51,22
1497,43,9,12,22,0
1500,31,106,46,0,0
1501,63,8,15,59,95
1506,0,24,67,16,0
1516,0,0,41,70,4
1518,0,10,0,5,17
1519,79,25,76,62,32
1520,20,48,89,219,75
1521,87,123,107,249,2
1525,0,0,72,84,48
1535,0,0,0,56,21
1536,0,0,0,0,1
1541,0,6,0,0,0
1542,0,103,34,65,0
1545,0,0,25,98,0
1548,0,141,157,28,4
1549,0,0,0,0,2
1550,0,0,11,218,13
1557,0,2,87,0,108
1558,39,10,9,22,0
1562,0,0,0,5,0
1564,61,34,41,29,7
1567,45,0,0,7,0
1569,52,11,73,62,67
1572,0,0,9,64,8
1575,11,15,119,8,73
1578,69,6,72,49,24
1579,0,0,75,13,0
1582,7,86,35,24,10
1585,26,17,52,30,0
1587,0,10,21,11,0
1588,0,0,75,70,3
1592,21,0,46,30,0
1601,0,0,0,0,41
1604,0,4,118,122,9
1606,161,56,104,35,0
1607,0,0,7,0,0
1608,92,50,39,46,0
1614,13,0,8,0,0
1617,0,0,3,14,0
1620,70,62,84,8,0
1621,0,84,0,217,0
1628,12,53,51,31,15
1629,0,0,0,0,21
1630,190,111,6,1,0
1632,0,0,85,13,64
1633,38,20,71,21,35
1634,0,78,24,90,0
1639,0,0,28,0,0
1645,0,0,0,0,2
1647,0,0,68,163,34
1648,0,0,56,269,0
1649,0,0,106,60,2
1650,0,0,8,0,0
1653,0,0,7,0,0
1654,0,0,17,12,0
1663,65,0,13,0,0
1668,0,14,42,0,0
1672,0,0,0,0,1
1673,0,0,42,69,16
1676,0,12,0,9,1
1677,0,0,109,179,198
1678,0,2,84,0,13
1679,13,16,26,7,5
1681,63,0,8,30,56
1685,0,1,0,0,0
1687,88,2,20,43,0
1690,0,0,0,75,27
1692,0,0,1,0,0
1698,4,0,21,20,0
1700,0,0,9,0,0
1701,0,0,0,57,31
1703,0,0,2,0,0
1705,0,0,169,140,91
1708,0,70,181,0,33
1711,0,0,72,0,0
1713,2,57,92,0,0
1719,71,56,24,0,0
1720,7,0,55,32,51
1724,0,1,0,0,0
1725,0,0,0,0,6
1730,0,0,33,0,0
1731,0,73,168,22,0
1734,0,0,73,49,0
1735,60,56,11,7,3
1736,37,14,87,36,14
1738,0,0,81,0,0
1740,0,0,0,0,9
1745,0,32,101,0,0
1747,0,0,66,223,0
1752,0,0,171,154,202
1753,31,8,67,45,31
1756,164,16,7,0,0
1757,53,6,0,69,0
1758,5,63,8,32,2
1767,138,10,8,11,40
1769,84,44,71,82,0
1770,0,0,12,2,0
1772,0,0,0,7,5
1779,0,0,37,67,7
1780,44,14,28,17,15
1782,1,46,67,78,27
1783,0,85,32,59,20
1788,0,48,80,0,65
1789,14,30,24,47,0
1793,7,0,22,8,4
1795,0,0,124,83,18
1799,0,0,72,66,0
1800,38,106,39,132,0
1801,0,9,0,47,0
1803,0,4,0,10,0
1805,0,0,0,54,0
1806,0,0,0,6,0
1811,25,0,0,8,0
1812,0,0,0,54,0
1815,8,20,104,15,4
1816,0,0,0,1,0
1818,69,19,0,45,0
1819,0,0,3,71,0
1821,0,8,0,6,0
1823,0,0,14,8,0
1826,34,162,27,72,0
1827,0,84,377,126,131
1828,0,0,0,17,0
1829,0,0,0,84,0
1830,13,0,10,9,0
1831,0,0,0,1,0
1832,0,24,23,7,0
1833,0,0,0,6,0
1838,0,0,0,16,0
1844,0,36,0,24,0
1845,13,12,9,12,4
1849,0,0,0,1,0
1856,246,133,108,224,0
1865,0,0,0,39,18
1867,0,0,0,8,0
1870,0,0,0,7,0
1872,0,0,0,11,0
1873,0,0,0,56,0
1874,0,0,0,1,0
1875,3,0,0,8,0
1876,0,0,0,1,0
1878,0,42,0,48,0
1882,0,0,0,6,0
1886,0,0,0,16,0
1888,35,0,0,8,0
1891,200,34,15,4,22
1893,0,0,0,14,0
1894,71,179,76,99,17
1895,0,0,0,1,0
1902,0,0,0,57,20
1903,117,213,71,100,32
1906,0,0,0,19,0
1909,0,0,0,1,0
1910,85,69,17,127,21
1913,0,0,2,20,0
1915,0,0,0,1,0
1917,0,0,0,1,0
1922,0,72,68,10,18
1926,1,0,0,1,0
1928,0,0,0,56,1
1929,8,0,0,12,0
1931,173,240,68,122,0
1933,62,177,88,54,0
1934,0,0,0,17,0
1936,0,34,0,18,0
1938,0,0,0,25,0
1939,0,0,10,5,0
1941,0,0,0,7,0
1945,32,6,0,4,0
1947,0,0,0,1,0
1948,0,0,0,29,0
1949,0,0,0,1,0
1951,69,20,0,36,0
1953,24,18,5,92,83
1966,0,0,0,69,33
1967,258,49,94,13,30
1968,0,32,79,48,0
1970,364,152,451,51,0
1971,2,0,1,9,0
1973,0,15,46,5,11
1975,0,0,0,124,0
1977,0,0,0,33,0
1979,0,31,0,48,13
1980,107,84,27,8,6
1981,642,185,215,293,140
1986,0,0,18,43,0
1989,0,0,11,63,12
1995,0,0,147,45,0
1996,0,0,0,9,0
1997,0,0,0,36,15
2001,0,0,162,182,15
2004,38,24,26,32,0
2007,132,10,16,163,22
2009,119,20,9,134,5
2010,0,0,0,92,22
2023,0,1,9,4,0
2025,0,0,0,6,0
2028,0,6,93,64,2
2034,0,28,0,48,0
2037,0,72,38,47,3
2039,0,0,0,5,0
2043,0,92,144,152,106
2045,0,0,0,81,0
2047,40,0,4,24,8
2048,8,0,0,4,0
2049,140,26,42,152,51
2050,0,0,0,24,0
2052,52,1,19,27,1
2059,128,12,170,64,76
2064,0,0,0,51,0
2065,62,61,92,65,30
2067,68,0,55,19,0
2069,0,0,0,99,24
2070,0,0,0,367,52
2072,350,424,277,207,36
2074,0,1,42,104,0
2079,0,0,0,96,20
2081,252,152,114,170,33
2086,90,1,24,253,3
2089,75,0,24,29,0
2093,59,24,23,261,26
2094,0,20,60,29,0
2095,103,53,20,185,63
2097,0,0,94,265,0
2098,0,0,0,55,0
2100,194,88,58,36,0
2102,0,0,0,11,0
2103,0,0,0,20,0
2104,186,33,494,53,1
2105,0,0,0,39,12
2107,0,0,0,104,0
2109,132,101,13,399,14
2110,0,0,6,5,0
2114,211,405,85,138,11
2117,0,30,35,9,0
2120,0,39,64,45,10
2126,35,17,176,16,0
2131,0,0,0,127,162
2134,0,16,0,39,31
2135,33,36,0,64,0
2140,33,17,106,70,0
2144,40,7,37,17,0
2148,38,20,137,82,19
2153,117,2,64,25,0
2156,41,15,50,63,13
2162,0,0,0,87,0
2166,0,0,0,2,0
2168,11,7,6,43,0
2169,36,25,0,44,0
2170,0,0,29,33,9
2173,0,0,107,225,6
2176,94,40,55,59,0
2177,0,0,0,17,0
2178,255,115,4,185,0
2179,37,0,0,23,0
2184,0,1,20,8,0
2187,67,10,116,56,0
2188,0,0,0,98,0
2189,198,200,227,83,10
2190,0,0,0,2,0
2192,0,0,54,97,0
2194,0,0,0,24,0
2195,0,0,0,203,0
2197,0,0,0,6,0
2198,0,0,0,23,0
2199,0,0,0,13,59
2201,85,114,82,109,34
2203,112,105,93,65,9
2210,21,12,8,40,10
2213,195,121,99,124,20
2214,64,24,47,10,0
2215,3,16,34,14,8
2217,0,0,0,46,3
2219,0,0,0,13,24
2220,73,45,75,180,0
2222,70,26,34,60,35
2224,0,18,12,18,0
2225,46,20,36,59,0
2228,32,8,66,8,48
2232,0,0,97,103,30
2233,0,0,0,9,0
2234,0,0,0,24,0
2235,0,66,104,47,10
2240,0,0,0,15,0
2241,176,261,196,357,179
2245,0,0,2,281,11
2246,28,46,10,48,0
2249,0,0,0,17,0
2253,0,0,0,125,0
2255,0,0,26,24,12
2257,42,17,0,49,0
2258,20,0,0,17,0
2260,3,90,37,52,0
2261,34,29,18,279,0
2264,22,0,53,56,0
2265,182,52,19,25,0
2271,0,0,0,228,0
2273,0,0,64,42,0
2274,0,0,0,6,0
2279,69,8,126,49,7
2281,0,0,0,111,34
2283,0,40,0,17,0
2290,78,0,0,43,0
2295,0,0,0,60,27
2299,0,0,0,2,0
2300,57,8,0,41,0
2302,9,56,0,7,0
2304,0,0,143,74,0
2307,0,13,0,1,0
2308,0,0,0,70,0
2309,215,18,51,44,9
2312,0,0,0,45,0
2313,0,0,0,8,0
2317,0,0,0,112,0
2318,0,0,0,14,0
2321,0,0,0,10,0
2327,0,0,0,1,0
2333,53,12,51,68,8
2335,0,0,0,70,0
2339,104,14,68,60,0
2341,0,0,0,2,0
2342,0,0,0,59,0
2344,0,0,0,3,30
2347,0,0,0,88,0
2351,0,0,0,55,2
2354,0,0,0,14,0
2355,0,0,0,92,51
2358,0,0,0,16,109
2361,0,0,0,1,0
2365,0,0,0,9,0
2370,0,0,0,7,0
2375,61,2,108,4,0
2385,151,21,21,242,7
2394,0,0,0,2,0
2397,0,0,0,71,6
2399,0,0,0,78,55
2401,1,0,0,147,4
2402,0,0,0,18,0
2404,0,0,0,18,0
2407,0,0,58,7,20
2411,109,4,42,29,0
2416,73,20,6,9,0
2425,0,0,0,12,0
2428,0,0,0,6,0
2430,0,0,0,6,0
2432,23,23,118,28,46
2434,0,0,39,11,0
2439,48,39,31,109,58
2448,0,0,177,182,0
2449,0,0,17,92,0
2458,24,156,8,15,1
2459,90,28,151,126,0
2464,57,40,0,44,0
2466,0,0,40,63,0
2470,82,20,45,123,14
2472,219,22,40,96,7
2481,13,0,93,87,10
2482,0,0,107,81,18
2484,0,8,140,77,0
2487,0,0,0,18,0
2488,0,0,65,18,0
2492,5,0,0,26,0
2495,0,0,0,6,0
2496,62,68,75,54,67
2501,25,0,1,48,0
2503,62,20,48,54,16
2504,0,0,26,26,0
2505,8,0,0,1,0
2506,0,0,0,105,0
2507,26,0,0,13,0
2508,57,43,15,43,27
2509,67,52,52,16,102
2516,71,189,34,38,41
2518,128,82,22,2,0
2521,77,77,110,250,134
2522,0,0,14,7,0
2536,75,1,32,134,0
2537,0,0,0,2,0
2541,0,90,0,45,0
2542,0,0,0,1,0
2544,58,39,6,49,0
2546,5,0,0,7,10
2548,0,0,39,29,0
2549,0,0,0,24,0
2553,0,0,0,6,7
2560,165,128,23,62,6
2565,17,0,62,75,0
2566,85,34,103,83,27
2569,24,46,146,76,6
2570,0,30,0,53,0
2577,0,0,25,12,1
2578,0,0,178,107,0
2579,0,0,100,424,14
2582,0,0,0,14,0
2583,55,6,421,281,22
2587,14,34,48,33,0
2588,40,7,30,78,0
2589,67,0,81,22,0
2595,29,8,10,4,0
2596,90,16,15,38,0
2597,28,17,13,35,19
2598,156,20,37,92,8
2599,6,0,11,13,0
2602,0,0,0,98,0
2606,113,91,69,28,83
2609,0,0,0,9,0
2610,0,6,152,8,0
2611,53,0,19,36,0
2612,133,19,0,53,140
2613,31,1,51,22,0
2615,0,26,78,307,303
2620,0,0,0,1,0
2621,0,0,0,40,0
2622,19,28,58,37,0
2623,0,7,10,80,0
2624,102,6,77,29,4
2627,0,52,111,62,45
2629,51,112,0,8,0
2635,141,189,355,146,0
2636,6,301,257,233,66
2638,0,0,34,34,0
2639,0,48,0,75,45
2640,11,0,0,40,0
2642,191,201,16,63,66
2643,0,0,427,637,4
2647,0,0,0,30,0
2650,0,0,0,43,0
2651,30,18,139,218,51
2652,262,128,64,64,0
2653,0,0,0,32,0
2656,0,0,0,12,0
2657,0,0,0,25,0
2659,0,11,0,78,12
2662,0,7,0,6,0
2663,0,0,0,15,0
2666,30,13,26,223,0
2667,0,0,17,45,0
2677,95,193,59,30,0
2679,60,17,0,188,0
2682,0,101,72,48,0
2683,8,52,18,133,0
2684,14,0,47,2,0
2688,0,75,8,46,0
2689,0,0,0,1,0
2690,13,1,33,8,11
2693,72,56,92,71,0
2694,13,0,0,71,0
2696,0,41,0,6,8
2702,148,0,76,28,0
2703,140,119,2,17,0
2706,127,18,185,80,78
2707,0,0,0,17,0
2711,0,0,0,24,22
2712,0,0,16,88,0
2718,0,0,0,50,0
2720,0,0,232,99,0
2721,105,20,28,65,5
2722,0,0,0,1,0
2724,6,18,13,25,48
2725,0,0,34,92,0
2728,37,49,54,55,6
2730,0,0,0,1,0
2734,43,11,46,23,0
2741,57,15,47,63,0
2742,0,0,0,8,0
2743,17,0,77,26,28
2744,24,17,32,19,0
2745,93,0,10,11,0
2747,170,74,46,101,26
2748,42,38,45,60,0
2749,0,0,20,58,6
2750,65,8,84,48,4
2751,249,54,177,249,20
2752,0,30,27,1,0
2756,68,15,22,123,0
2760,48,0,74,30,0
2761,4,12,30,43,0
2764,0,0,0,44,0
2767,58,4,85,29,39
2768,0,0,125,50,47
2774,0,0,0,113,0
2775,0,0,0,7,0
2776,0,46,0,44,31
2777,49,14,13,20,0
2783,0,0,0,3,0
2786,0,24,0,15,0
2792,72,14,53,86,0
2794,0,0,0,9,0
2798,28,17,0,50,24
2799,0,0,0,4,0
2800,0,0,0,2,91
2809,0,0,0,24,2
2811,41,27,7,22,1
2815,0,0,100,45,0
2820,18,41,106,83,0
2821,22,26,16,17,12
2824,0,0,0,1,0
2833,0,0,0,29,0
2835,0,0,0,5,0
2836,23,12,4,10,0
2838,0,0,0,1,0
2842,113,18,36,43,27
2846,44,3,0,27,0
2849,9,38,23,105,5
2850,0,0,5,1,0
2854,138,4,0,16,0
2862,192,52,59,106,0
2868,0,0,0,60,0
2876,55,27,93,62,11
2883,76,96,73,101,10
2889,98,21,44,25,0
2893,0,16,0,56,0
2894,0,0,0,7,0
2899,47,65,58,255,28
2902,0,0,0,8,0
2910,32,57,2,9,0
2912,0,0,116,36,0
2913,0,0,32,203,42
2915,50,122,51,52,0
2916,97,79,41,271,14
2922,0,0,0,27,0
2923,137,285,82,146,0
2927,20,15,6,23,37
2932,0,0,0,9,0
2934,0,0,157,49,4
2935,0,0,0,10,0
2937,41,37,44,10,0
2939,0,0,0,10,0
2941,7,5,24,76,17
2942,0,61,32,22,9
2943,24,6,59,30,16
2945,0,18,0,24,0
2946,0,22,0,37,0
2948,52,62,70,43,0
2949,50,169,18,8,27
2951,39,27,8,39,22
2952,0,0,0,1,0
2954,0,0,0,3,0
2956,0,0,0,8,0
2964,10,0,0,7,0
2967,54,11,15,4,0
2970,0,0,0,78,0
2975,0,0,0,15,0
2979,107,127,192,101,4
2980,92,113,0,24,0
2982,100,9,64,36,0
2985,109,17,160,29,7
2986,0,75,26,56,0
2990,0,13,0,62,24
2991,0,0,0,44,0
2994,2,42,11,48,6
2996,31,1,48,24,0
2998,17,0,0,8,0
3001,52,42,38,4,0
3002,0,0,0,108,51
3006,0,0,0,67,43
3007,185,228,214,35,17
3014,80,9,85,93,0
3016,5,6,0,9,0
3017,30,21,129,24,46
3019,126,95,174,152,0
